URL,Title
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA2&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 대만 Providence University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA3&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 대만 Tunghai University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA4&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 일본 Meiji Gakuin University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA5&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 일본 Meiji University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTEw&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 일본 Sapporo Gakuin University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTEx&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,[아시아]일본 Shinshu University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTEy&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 China Three Gorges University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTEz&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Nanjing University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE0&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Northeast Normal University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE1&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Shenyang Aerospace University
