country,id,name_eng,name_kor,category,program_category,area,city,score,toeic,toefl_ibt,toefl_itp,ielts,hsk,jlpt,jpt,zd,delf,dele,celi,cils,celpebras,toefl_home,toefl_mbs,specification,lastvisit,toefl_itp_availability,toeic_availability,toefl_mbs
France,E0118,Toulouse Business School,툴루즈경영대,자매대학,일반교환,europe,Toulouse,,,79,,6,,,,,B2,,,,,,,"- 영어: TOEFL 79 이상/IELTS 6.0 이상
 - 프랑스어: DELF B2 이상",,FALSE,FALSE,
France,E0119,University of Clermont-Ferrand,끌레르몽페랑대,자매대학,일반교환,europe,Auvergne,,800,75,,5.5,,,,,B2,,,,,,,,,FALSE,,
France,E0120,University of Burgundy,부르고뉴대,자매대학,일반교환,europe,Burgogne,,,72,,8.5,,,,,,,,,,,,,,FALSE,FALSE,
France,E0121,University of the Littoral Opal Coast,리토랄오팔코스트대,자매대학,일반교환,europe,Dunkerque,,785,72,,8.5,,,,,B2,,,,,,,,,FALSE,,
France,E0122,University Paris-Est Créteil,UPEC,자매대학,일반교환,europe,Paris,,785,72,,8.5,,,,,B2,,,,,,,,,FALSE,,
France,E0123,University Savoie Mont Blanc,사부아몽블랑대,자매대학,일반교환,europe,Chambéry,,800,75,,5.5,,,,,B1,,,,,,,"* 프랑스어 지원자의 경우 B1 소지 학생 또한 지원 가능하나, 학기 내 프랑스어 수업을 들어야함",,,,
France,E0124,Ecole de Management Bretagne Atlantique,EMBA,자매대학,일반교환,europe,Quimper,,700,,,5.5,,,,,,,,,,,,*TOEFL 제외,,,,
France,E0125,Université Bordeaux Montaigne,보르도몽테뉴대,자매대학,일반교환,europe,Bordeaux,,,,,,,,,,B2,,,,,,,,,,,
France,E0126,École pour l'informatique et les nouvelles technologies,EPITECH,자매대학,일반교환,europe,Paris,,,70,,5.5,,,,,A2,,,,,,,,,FALSE,FALSE,
France,E0127,L'école supérieure des professions immobilières,ESPI,자매대학,일반교환,europe,Paris,,,75,,5.5,,,,,A2,,,,,,,,,FALSE,FALSE,
France,E0128,University of Paris 13,파리 13대학,자매대학,일반교환,europe,Villetaneuse,,785,72,,5.5,,,,,B2,,,,,,,,,,,
France,E0129,Higher Institute Management And Communication,ISMAC,자매대학,일반교환,europe,Paris,,800,75,,5.5,,,,,,,,,,,,,,,,
France,E0130,University of toulouse jean jaures,툴루즈쟝조헤스대,자매대학,일반교환,europe,Toulouse,,,,,,,,,,B2,,,,,,,,,,,
France,E0131,University of Strasbourg,스트라스부르대,자매대학,일반교환,europe,Alsace,,,,,,,,,,B1,,,,,,,"학과에 따라 필요 어학 성적이 다름.
 Fact-sheet 참조",,,,
France,E0132,Ecole Superieure de Chimie Organique et Minerale,ESCOM,자매대학,일반교환,europe,Compiègne,,,,,,,,,,B1,,,,,,,,,,,
Finland,E0134,Oulu University of Applied Sciences,오울루대,자매대학,일반교환,europe,Oulu,,800,75,,5.5,,,,,,,,,,,,,,,,
Finland,E0135,Savonia University of Applied Sciences,사보니아대,자매대학,일반교환,europe,Kuopio,,,80,,6,,,,,,,,,,,,,,,FALSE,
Finland,E0136,Tampere University of Applied Sciences,탐페레대,자매대학,일반교환,europe,Tampere,,,72,,5.5,,,,,,,,,,,,,,,FALSE,
Finland,E0137,Helsinki Metropolia University of Applied Sciences,헬싱키메트로폴리아과학대,자매대학,일반교환,europe,Helsinki,,800,75,,5.5,,,,,,,,,,,,,,,,
Hungary,E0138,Budapest Metropolitan University,부다페스트메트로폴리탄대,자매대학,일반교환,europe,Budapest,,,72,,5.5,,,,,,,,,,,,,,FALSE,FALSE,
Hungary,E0139,Károli Gáspár University of the Reformed Church in Hungary,KRE,자매대학,일반교환,europe,Budapest,,450,60,,5,,,,,,,,,,,,"* TOEFL 영역별 15점 이상
 * IELTS Reading/Listening 5.5이상, Writing/Speaking 5.0이상",,,,
Guatemala,E0140,Rafael Landivar University,라파엘란디바르대,자매대학,일반교환,sa,Guatemala City,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Dominican Republic,E0141,Santo Domingo Institute of Technology,INTEC,자매대학,일반교환,sa,Santo Domingo,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Dominican Republic,E0142,Ibero-Americana University,이베로아메리카나대,자매대학,일반교환,sa,Santo Domingo,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Mexico,E0143,Regiomontana University,레지오몬따나대,자매대학,일반교환,sa,Monterrey,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Mexico,E0144,University of Monterrey,몬테레이대,자매대학,일반교환,sa,Monterrey,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Mexico,E0145,Sonora Institute of Technology,소노라공대,자매대학,일반교환,sa,Sonora,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Mexico,E0146,"Universidad La Salle, Laguna","라사예대, 라구나",자매대학,일반교환,sa,Mexico City,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Mexico,E0147,The Business School of Mexico,멕시코 경영대학,자매대학,일반교환,sa,Mexico City,,800,75,,5.5,,,,,,,,,,,,,,,,
Brazil,E0148,Pontifical Catholic University of Minas Gerais,PUCMINAS,자매대학,일반교환,sa,Belo Horizonte,,800,,,,,,,,,,,,"Intermediario
 Superior",,,"*TOEFL, IELTS 제외",,FALSE,,
Brazil,E0149,São Paulo State University,UNESP,자매대학,일반교환,sa,São Paulo,,800,,,,,,,,,,,,"Intermediario
 Superior",,,"*TOEFL, IELTS 제외",,FALSE,,
Brazil,E0150,University of Vale Do Itajai,바레도이타자야대,자매대학,일반교환,sa,Itajai,,800,,,,,,,,,,,,"Intermediario
 Superior",,,"*TOEFL, IELTS 제외",,FALSE,,
Brazil,E0151,Federal University of Viçosa,비코사연방대,자매대학,일반교환,sa,Viçosa,,800,,,,,,,,,,,,"Intermediario
 Superior",,,"*TOEFL, IELTS 제외",,FALSE,,
Brazil,E0152,University Center - Senac,세낙대,자매대학,일반교환,sa,São Paulo,,800,,,,,,,,,,,,"Intermediario
 Superior",,,"*TOEFL, IELTS 제외",,FALSE,,
